No.,Title,Original airdate,Guest(s),Ingredient(s),Contestants,Judges,Dish,Winner,Guest A,Guest B,Judge A,Judge B,Judge C,Season
1,"""Grueneberg and Nunziata""","August 24, 2013","Alex Guarnaschelli, Jeff Mauro",zucchini,Sarah Grueneberg X  Alberico Nunziata,"Billy Grant, Marissa May, Lauren DeMaio",chicken parm,Sarah Grueneberg,Alex Guarnaschelli, Jeff Mauro,Billy Grant, Marissa May, Lauren DeMaio,1
2,"""Welcome to New York!""","March 3, 2014","Sunny Anderson, Jonathan Waxman",skirt steak,Anthony Lamas X  Jennifer Nguyen,"Cobi Levy, Kelsey Nixon, Roberto Treviño",shrimp and grits,Bobby Flay,Sunny Anderson, Jonathan Waxman,Cobi Levy, Kelsey Nixon, Roberto Treviño,1
3,"""Farmer and the Belle""","March 6, 2014","Michael Symon, Simon Majumdar",red prawn,Karen Akunowicz X  Matthew Raiford,"Corby Kummer, Melba Wilson, Harold Dieterle",chicken and waffles,Bobby Flay,Michael Symon, Simon Majumdar,Corby Kummer, Melba Wilson, Harold Dieterle,1
4,"""Old Dog, New Tricks""","March 13, 2014","Alex Guarnaschelli, Anne Burrell",cauliflower,Adam Harvey X  Brian Tsao,"Michael Chernow, Daniel Holzman, Wylie Dufresne",meat tacos,Brian Tsao[1],Alex Guarnaschelli, Anne Burrell,Michael Chernow, Daniel Holzman, Wylie Dufresne,1
5,"""Fighting Irish""","March 20, 2014","Giada De Laurentiis, Mo Rocca",scallops,Brian Young X  Steven McHugh,"Ed Levine, Madison Cowan, Nils Norén",bangers & mash,Bobby Flay,Giada De Laurentiis, Mo Rocca,Ed Levine, Madison Cowan, Nils Norén,1
6,"""Beauty and the Feast""","March 27, 2014","Eden Grinshpan, Justin Warner",eggplant,Paul Denamiel X  Rochelle Bilow,"George Mendes, Michele Ragussis, Hugh Mangum",burger,Bobby Flay,Eden Grinshpan, Justin Warner,George Mendes, Michele Ragussis, Hugh Mangum,1
7,"""Eat, Flay, Love""","April 3, 2014","Alex Guarnaschelli, Jack McDavid",brussels sprouts,Kimberly Van Kline X  Christopher Lee,"Todd Coleman, Marco Canora, Frank Prisinzano",mac & cheese,Bobby Flay,Alex Guarnaschelli, Jack McDavid,Todd Coleman, Marco Canora, Frank Prisinzano,1
8,"""Up in Smoke""","April 10, 2014","Ali Wentworth, Michael Symon",poblano chili pepper,Kamal Rose X  Shannon Barr,"Ed McFarland, Alain Allegretti, Brian Duffy",crab cakes,Bobby Flay,Ali Wentworth, Michael Symon,Ed McFarland, Alain Allegretti, Brian Duffy,1
9,"""Old School/New School""","April 17, 2014","Katie Lee, Scott Conant",pineapple,Andrew Evans X  Brooke Mallory,"Joey Campenaro, Aliya LeeKong, Seamus Mullen",meatloaf,Bobby Flay,Katie Lee, Scott Conant,Joey Campenaro, Aliya LeeKong, Seamus Mullen,1
10,"""They Must Be Giants""","July 31, 2014","Geoffrey Zakarian, Scott Conant",lamb chops,Bruce Kalman X  Andy Saint-Ange,"Donatella Arpaia, Ed McFarland, Leah Cohen",linguine & clams,Bobby Flay,Geoffrey Zakarian, Scott Conant,Donatella Arpaia, Ed McFarland, Leah Cohen,2
